,daterep,day,month,year,cases,deaths,countries_and_territories,geoid
196,16/01/2020,16,1,2020,0,0,Algeria,DZ
197,15/01/2020,15,1,2020,0,0,Algeria,DZ
198,14/01/2020,14,1,2020,0,0,Algeria,DZ
199,13/01/2020,13,1,2020,0,0,Algeria,DZ
200,12/01/2020,12,1,2020,0,0,Algeria,DZ
201,11/01/2020,11,1,2020,0,0,Algeria,DZ
202,10/01/2020,10,1,2020,0,0,Algeria,DZ
203,09/01/2020,9,1,2020,0,0,Algeria,DZ
204,08/01/2020,8,1,2020,0,0,Algeria,DZ
205,07/01/2020,7,1,2020,0,0,Algeria,DZ
206,06/01/2020,6,1,2020,0,0,Algeria,DZ
207,05/01/2020,5,1,2020,0,0,Algeria,DZ
208,04/01/2020,4,1,2020,0,0,Algeria,DZ
209,03/01/2020,3,1,2020,0,0,Algeria,DZ
210,02/01/2020,2,1,2020,0,0,Algeria,DZ
211,01/01/2020,1,1,2020,0,0,Algeria,DZ
212,31/12/2019,31,12,2019,0,0,Algeria,DZ
213,19/03/2020,19,3,2020,37,0,Armenia,AM
214,18/03/2020,18,3,2020,26,0,Armenia,AM
215,17/03/2020,17,3,2020,22,0,Armenia,AM
216,16/03/2020,16,3,2020,10,0,Armenia,AM
217,15/03/2020,15,3,2020,7,0,Armenia,AM
218,14/03/2020,14,3,2020,7,0,Armenia,AM
219,13/03/2020,13,3,2020,2,0,Armenia,AM
220,12/03/2020,12,3,2020,3,0,Armenia,AM
221,02/03/2020,2,3,2020,0,0,Armenia,AM
222,01/03/2020,1,3,2020,1,0,Armenia,AM
223,29/02/2020,29,2,2020,0,0,Armenia,AM
224,28/02/2020,28,2,2020,0,0,Armenia,AM
225,27/02/2020,27,2,2020,0,0,Armenia,AM
226,26/02/2020,26,2,2020,0,0,Armenia,AM
227,25/02/2020,25,2,2020,0,0,Armenia,AM
228,24/02/2020,24,2,2020,0,0,Armenia,AM
229,23/02/2020,23,2,2020,0,0,Armenia,AM
230,22/02/2020,22,2,2020,0,0,Armenia,AM
231,21/02/2020,21,2,2020,0,0,Armenia,AM
232,20/02/2020,20,2,2020,0,0,Armenia,AM
233,19/02/2020,19,2,2020,0,0,Armenia,AM
234,18/02/2020,18,2,2020,0,0,Armenia,AM
235,17/02/2020,17,2,2020,0,0,Armenia,AM
236,16/02/2020,16,2,2020,0,0,Armenia,AM
237,15/02/2020,15,2,2020,0,0,Armenia,AM
238,14/02/2020,14,2,2020,0,0,Armenia,AM
239,13/02/2020,13,2,2020,0,0,Armenia,AM
240,12/02/2020,12,2,2020,0,0,Armenia,AM
241,11/02/2020,11,2,2020,0,0,Armenia,AM
242,10/02/2020,10,2,2020,0,0,Armenia,AM
243,09/02/2020,9,2,2020,0,0,Armenia,AM
244,08/02/2020,8,2,2020,0,0,Armenia,AM
245,07/02/2020,7,2,2020,0,0,Armenia,AM
246,06/02/2020,6,2,2020,0,0,Armenia,AM
247,05/02/2020,5,2,2020,0,0,Armenia,AM
248,04/02/2020,4,2,2020,0,0,Armenia,AM
249,03/02/2020,3,2,2020,0,0,Armenia,AM
250,02/02/2020,2,2,2020,0,0,Armenia,AM
251,01/02/2020,1,2,2020,0,0,Armenia,AM
252,31/01/2020,31,1,2020,0,0,Armenia,AM
253,30/01/2020,30,1,2020,0,0,Armenia,AM
254,29/01/2020,29,1,2020,0,0,Armenia,AM
255,28/01/2020,28,1,2020,0,0,Armenia,AM
256,27/01/2020,27,1,2020,0,0,Armenia,AM
257,26/01/2020,26,1,2020,0,0,Armenia,AM
258,25/01/2020,25,1,2020,0,0,Armenia,AM
259,24/01/2020,24,1,2020,0,0,Armenia,AM
260,23/01/2020,23,1,2020,0,0,Armenia,AM
261,22/01/2020,22,1,2020,0,0,Armenia,AM
